City_ID,city,country,latitude,longitude,temperature,pressure,humidity,wind_speed,cloudiness,Max_Temp,date
0,Ust-Nera,RU,64.566376,143.237839,39.6,1009,90,1684986919,85,39.6,1684986919
1,Yellowknife,CA,62.4540807,-114.377385,62.78,1011,48,1684986921,20,62.78,1684986921
2,Rocky Point,MX,31.3170867,-113.531819,75.9,1007,64,1684986922,0,75.9,1684986922
3,Fort Bragg,US,35.140311,-79.15414649804102,60.35,1015,62,1684986924,75,64.72,1684986924
4,Cape Town,ZA,-33.928992,18.417396,55.06,1008,93,1684986925,75,55.89,1684986925
5,Hinna,NO,58.910323149999996,5.727971645081203,46.69,1026,83,1684986927,16,48.06,1684986927
6,Formosa do Rio Preto,BR,-11.0414544,-45.1903983,71.44,1015,78,1684986928,77,71.44,1684986928
7,Otjiwarongo,NA,-20.4635829,16.6490992,51.12,1016,61,1684986930,23,51.12,1684986930
8,Port-aux-Français,FR,-49.3497607,70.2199565,42.37,1003,99,1684986933,100,42.37,1684986933
9,Chonchi,CL,-42.6239756,-73.7724416,46.02,1005,80,1684986934,88,46.02,1684986934
10,Waitangi,NZ,-35.2704653,174.0804593,66.56,1020,64,1684986937,16,66.56,1684986937
11,Coquimbo,CL,-29.9531928,-71.3379884,58.87,1015,94,1684986939,0,58.87,1684986939
12,Bilibino,RU,68.0550305,166.4448515,52.65,1011,38,1684986940,15,52.65,1684986940
13,Blackmans Bay,AU,-43.004684,147.3179857,58.48,994,56,1684986942,46,58.84,1684986942
14,Margaret River,AU,-33.9531776,115.0769369,59.23,1034,56,1684986943,59,59.23,1684986943
15,Spassk-Dal'nij,RU,44.5980135,132.815701,75.61,1012,41,1684986945,57,75.61,1684986945
16,Stephenville,US,32.2191836,-98.2130634,69.93,1016,83,1684986946,40,71.62,1684986946
17,Lihue,US,21.9769622,-159.3687721,77.77,1019,71,1684986948,20,81.79,1684986948
18,Simpang,MY,4.8201406,100.705797,90.91,1013,65,1684986949,84,90.91,1684986949
19,Flying Fish Cove,AU,-10.4213344,105.674413,77.43,1016,94,1684986951,75,77.43,1684986951
20,Ribeira Grande,PT,37.8225227,-25.5194914,61.14,1020,82,1684986952,20,61.14,1684986952
21,Yashkul,RU,46.174168,45.343464,73.92,1013,56,1684986954,100,73.92,1684986954
22,Tiksi,RU,71.636604,128.868546,29.79,1018,75,1684986955,19,29.79,1684986955
23,College,CA,45.32664695,-75.83855656986515,43.61,1026,69,1684986957,20,44.91,1684986957
24,Punta Arenas,CL,-53.1625688,-70.907822,39.49,978,70,1684986959,0,39.49,1684986959
25,Iqaluit,CA,63.74944,-68.521857,29.91,1014,86,1684986960,100,30.15,1684986960
26,Usogorsk,RU,63.429546,48.706184,63.81,1016,77,1684986962,100,63.81,1684986962
27,Oriximiná,BR,-1.7669992,-55.868285,75.72,1010,90,1684986964,81,75.72,1684986964
